inspection_id,supplier_id,supplier_name,country,supplier_approval_status,material_lot,inspection_date,inspection_result,defect_count
INSP-000065,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000172,2025-10-01,PASS,7
INSP-000066,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000328,2026-05-16,PASS,8
INSP-000067,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000007,2026-08-23,PASS,1
INSP-000068,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000378,2025-12-27,PASS,3
INSP-000069,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000031,2025-10-07,PASS,7
INSP-000070,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000078,2025-12-09,PASS,0
INSP-000071,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000485,2026-06-30,PASS,5
INSP-000072,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000163,2026-01-17,PASS,0
INSP-000073,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000332,2026-03-28,PASS,0
INSP-000074,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000176,2026-02-13,PASS,8
INSP-000075,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000128,2026-08-03,PASS,3
INSP-000076,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000267,2026-03-11,PASS,7
INSP-000077,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000446,2025-09-30,PASS,3
INSP-000078,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000073,2026-07-18,FAIL,2
INSP-000079,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000304,2025-11-24,PASS,3
INSP-000080,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000041,2026-05-14,PASS,7
INSP-000081,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000370,2025-11-20,PASS,6
INSP-000082,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000128,2026-07-04,PASS,7
INSP-000083,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000442,2026-01-14,PASS,1
INSP-000084,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000194,2026-03-19,PASS,7
INSP-000085,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000313,2026-05-13,PASS,2
INSP-000086,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000391,2025-09-07,PASS,1
INSP-000087,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000276,2026-06-28,PASS,2
INSP-000088,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000238,2026-03-10,PASS,4
INSP-000089,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000311,2026-06-11,PASS,5
INSP-000090,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000101,2026-04-25,PASS,3
INSP-000091,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000442,2025-09-03,PASS,5
INSP-000092,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000474,2026-03-23,PASS,6
INSP-000093,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000251,2026-03-12,PASS,1
INSP-000094,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000472,2025-09-16,PASS,2
INSP-000095,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000491,2026-04-08,PASS,5
INSP-000096,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000251,2026-08-26,PASS,5
INSP-000097,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000198,2026-07-27,FAIL,3
INSP-000098,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000018,2026-04-29,FAIL,5
INSP-000099,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000341,2026-08-20,PASS,4
INSP-000100,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000484,2026-04-18,PASS,4
INSP-000101,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000297,2026-07-02,FAIL,2
INSP-000102,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000395,2025-10-26,PASS,6
INSP-000103,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000301,2026-08-24,FAIL,1
INSP-000104,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000449,2025-12-02,PASS,6
INSP-000105,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000155,2026-08-17,PASS,8
INSP-000106,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000158,2026-06-24,PASS,1
INSP-000107,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000294,2026-07-19,PASS,5
INSP-000108,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000384,2026-01-12,PASS,6
INSP-000109,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000087,2025-08-31,PASS,0
INSP-000110,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000397,2025-10-02,PASS,8
INSP-000111,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000148,2026-07-29,PASS,2
INSP-000112,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000096,2026-03-07,PASS,3
INSP-000113,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000258,2025-11-29,FAIL,7
INSP-000114,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000096,2025-12-14,PASS,2
INSP-000115,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000462,2026-01-07,PASS,7
INSP-000116,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000445,2025-10-22,PASS,1
INSP-000117,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000194,2025-10-10,PASS,1
INSP-000118,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000300,2025-09-12,PASS,7
INSP-000119,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000032,2025-09-01,PASS,0
INSP-000120,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000050,2025-09-18,PASS,0
INSP-000121,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000267,2026-07-02,FAIL,4
INSP-000122,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000388,2026-04-27,PASS,6
INSP-000123,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000350,2026-03-05,FAIL,5
INSP-000124,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000341,2026-02-28,PASS,0
INSP-000125,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000413,2026-02-13,PASS,7
INSP-000126,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000014,2025-11-07,PASS,8
INSP-000127,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000385,2026-08-21,PASS,5
INSP-000128,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000352,2026-07-10,PASS,7
INSP-000129,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000339,2026-03-27,PASS,5
INSP-000130,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000185,2026-07-18,PASS,5
INSP-000131,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000311,2025-12-25,PASS,1
INSP-000132,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000481,2026-04-04,FAIL,7
INSP-000133,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000151,2026-03-13,PASS,2
INSP-000134,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000402,2026-06-16,PASS,8
INSP-000135,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000255,2025-11-01,PASS,4
INSP-000136,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000087,2026-04-24,FAIL,1
INSP-000137,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000277,2026-08-02,PASS,3
INSP-000138,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000359,2026-07-31,PASS,6
INSP-000139,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000476,2025-11-18,FAIL,6
INSP-000140,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000369,2025-12-18,PASS,7
INSP-000141,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000070,2026-08-03,FAIL,7
INSP-000142,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000171,2026-08-17,PASS,1
INSP-000143,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000467,2026-03-09,PASS,6
INSP-000144,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000414,2026-04-08,PASS,4
INSP-000145,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000045,2026-01-23,PASS,5
INSP-000146,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000382,2025-12-02,FAIL,5
INSP-000147,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000489,2026-02-04,PASS,0
INSP-000148,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000303,2025-09-28,PASS,6
INSP-000149,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000395,2026-02-07,PASS,2
INSP-000150,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000309,2026-08-02,PASS,1
INSP-000151,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000276,2025-09-01,PASS,5
INSP-000152,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000429,2026-01-26,PASS,7
INSP-000153,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000146,2026-07-01,PASS,0
INSP-000154,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000159,2026-02-07,PASS,1
INSP-000155,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000294,2026-08-24,PASS,3
INSP-000156,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000361,2026-01-24,FAIL,0
INSP-000157,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000424,2025-11-14,PASS,3
INSP-000158,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000439,2025-11-27,PASS,6
INSP-000159,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000468,2026-07-31,PASS,0
INSP-000160,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000173,2026-03-16,PASS,7
INSP-000161,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000201,2026-03-16,PASS,4
INSP-000162,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000473,2026-08-19,PASS,8
INSP-000163,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000068,2025-10-16,PASS,0
INSP-000164,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000336,2026-04-19,PASS,2
INSP-000165,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000248,2026-08-19,PASS,2
INSP-000166,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000412,2025-12-17,PASS,0
INSP-000167,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000053,2026-06-18,PASS,2
INSP-000168,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000348,2026-04-03,PASS,0
INSP-000169,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000499,2026-02-26,PASS,0
INSP-000170,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000333,2026-05-18,PASS,6
INSP-000171,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000370,2026-07-15,PASS,0
INSP-000172,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000204,2025-12-29,PASS,2
INSP-000173,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000408,2026-08-17,PASS,1
INSP-000174,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000196,2026-07-26,PASS,7
INSP-000175,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000062,2025-09-02,PASS,1
INSP-000176,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000343,2026-07-22,FAIL,3
INSP-000177,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000294,2026-06-24,FAIL,7
INSP-000178,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000382,2026-08-18,PASS,2
INSP-000179,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000331,2026-05-02,PASS,4
INSP-000180,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000051,2025-10-31,PASS,8
INSP-000181,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000417,2026-03-23,PASS,6
INSP-000182,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000402,2026-05-29,PASS,7
INSP-000183,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000429,2026-05-20,PASS,1
INSP-000184,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000460,2026-07-31,PASS,2
INSP-000185,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000229,2026-06-08,PASS,1
INSP-000186,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000295,2025-11-01,PASS,2
INSP-000187,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000132,2026-06-11,PASS,0
INSP-000188,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000260,2025-10-30,PASS,8
INSP-000189,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000484,2026-04-01,PASS,3
INSP-000190,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000485,2025-09-20,FAIL,4
INSP-000191,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000072,2026-04-12,PASS,5
INSP-000192,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000311,2026-02-24,PASS,3
INSP-000193,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000420,2026-08-02,PASS,0
INSP-000194,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000154,2025-11-08,PASS,3
INSP-000195,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000283,2026-07-02,PASS,5
INSP-000196,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000374,2025-11-01,PASS,1
INSP-000197,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000134,2026-01-05,PASS,2
INSP-000198,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000043,2026-04-18,FAIL,6
INSP-000199,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000105,2026-05-29,PASS,4
INSP-000200,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000191,2026-08-28,PASS,8
INSP-000201,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000215,2025-11-19,PASS,5
INSP-000202,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000014,2026-03-10,FAIL,3
INSP-000203,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000064,2026-01-13,PASS,8
INSP-000204,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000169,2025-09-30,PASS,5
INSP-000205,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000075,2026-01-14,PASS,3
INSP-000206,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000051,2025-09-02,PASS,3
INSP-000207,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000401,2025-10-20,FAIL,2
INSP-000208,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000302,2026-01-31,PASS,7
INSP-000209,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000179,2026-05-25,PASS,4
INSP-000210,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000312,2026-01-13,PASS,0
INSP-000211,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000485,2026-02-06,PASS,2
INSP-000212,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000496,2026-08-10,PASS,8
INSP-000213,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000245,2026-03-22,PASS,4
INSP-000214,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000263,2026-08-14,PASS,2
INSP-000215,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000291,2026-03-09,PASS,0
INSP-000216,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000399,2026-08-25,PASS,6
INSP-000217,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000225,2025-11-29,FAIL,7
INSP-000218,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000142,2026-01-21,FAIL,8
INSP-000219,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000326,2026-01-31,PASS,4
INSP-000220,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000433,2026-02-04,PASS,1
INSP-000221,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000484,2025-12-28,PASS,0
INSP-000222,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000284,2026-01-21,FAIL,0
INSP-000223,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000261,2026-08-09,FAIL,2
INSP-000224,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000264,2026-05-09,PASS,8
INSP-000225,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000008,2026-03-23,PASS,0
INSP-000226,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000274,2026-08-22,PASS,3
INSP-000227,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000312,2026-08-13,PASS,7
INSP-000228,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000477,2026-08-08,FAIL,8
INSP-000229,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000039,2025-11-25,PASS,2
INSP-000230,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000488,2026-02-24,PASS,7
INSP-000231,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000192,2025-11-23,FAIL,5
INSP-000232,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000436,2026-05-31,PASS,1
INSP-000233,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000248,2026-01-28,PASS,3
INSP-000234,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000292,2026-07-17,PASS,4
INSP-000235,SUP-005,NorthStar Electronics,Canada,APPROVED,MAT-000479,2025-09-15,PASS,7
INSP-000236,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000004,2026-02-26,PASS,5
INSP-000237,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000055,2026-02-25,PASS,2
INSP-000238,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000005,2026-02-25,PASS,7
INSP-000239,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000271,2025-10-10,PASS,2
INSP-000240,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000468,2025-10-30,PASS,2
INSP-000241,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000241,2025-12-21,PASS,4
INSP-000242,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000457,2026-04-04,PASS,4
INSP-000243,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000337,2026-04-09,PASS,2
INSP-000244,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000383,2026-02-25,PASS,5
INSP-000245,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000098,2025-10-23,PASS,2
INSP-000246,SUP-004,Global BioParts LLC,India,CONDITIONAL,MAT-000381,2026-03-31,PASS,0
INSP-000247,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000102,2026-08-04,FAIL,4
INSP-000248,SUP-001,Apex Materials Inc.,USA,APPROVED,MAT-000251,2026-03-31,PASS,2
INSP-000249,SUP-003,Precision Polymers Co.,Japan,APPROVED,MAT-000257,2026-03-20,PASS,6
INSP-000250,SUP-002,MedTech Components Ltd.,Germany,APPROVED,MAT-000491,2025-10-23,PASS,0
